return_id,order_id,customer_id,return_date,reason,refund_amount,return_status
225,411555,69557,2024-08-05,Not as Described,76.62,Completed
226,39686,68897,2025-11-24,Not as Described,454.86,Completed
227,34157,6499,2023-02-14,Changed Mind,390.59,Approved
228,91682,91488,2025-03-01,Damaged,488.3,Completed
229,416155,6142,2024-07-17,Not as Described,297.51,Completed
230,132318,31427,2025-07-25,Wrong Item,417.55,Approved
231,182179,72584,2023-10-16,Wrong Item,264.06,Completed
232,340630,98783,2025-03-15,Damaged,426.55,Completed
233,220995,61873,2025-10-10,Changed Mind,150.15,Completed
234,251132,23683,2023-02-15,Wrong Item,220.45,Rejected
235,461491,3881,2024-10-06,Changed Mind,107.27,Completed
236,176803,16229,2024-06-22,Not as Described,362.72,Completed
237,385957,38773,2025-04-24,Changed Mind,237.06,Completed
238,232977,60643,2024-09-28,Late Delivery,468.06,Completed
239,499578,9124,2024-06-30,Changed Mind,398.96,Completed
240,305393,48679,2023-07-20,Not as Described,169.27,Completed
241,390872,40215,2024-11-20,Not as Described,110.57,Completed
242,22802,8419,2023-08-16,Changed Mind,34.36,Completed
243,421236,54215,2023-05-01,Changed Mind,342.01,Completed
244,234963,15773,2026-01-04,Not as Described,269.5,Completed
245,128124,88428,2023-05-20,Changed Mind,190.54,Completed
246,284036,12609,2024-12-16,Late Delivery,288.75,Completed
247,81371,12977,2025-10-18,Changed Mind,131.76,Completed
248,116316,74779,2024-11-08,Late Delivery,132.1,Approved
249,371279,32044,2025-01-24,Late Delivery,315.3,Completed
250,245400,82164,2024-01-11,Changed Mind,342.46,Rejected
251,161144,29646,2025-11-29,Late Delivery,25.55,Completed
252,297100,93445,2025-09-03,Changed Mind,64.99,Completed
253,469657,79503,2023-12-26,Changed Mind,103.91,Completed
254,365967,6749,2024-04-08,Late Delivery,154.78,Completed
255,298809,13780,2025-02-07,Changed Mind,456.27,Completed
256,455277,66800,2023-05-15,Late Delivery,487.0,Completed
257,12079,61912,2024-07-19,Damaged,378.12,Completed
258,29245,15028,2024-05-21,Late Delivery,439.72,Completed
259,359443,68254,2025-12-13,Changed Mind,371.63,Approved
260,368477,3869,2023-07-11,Not as Described,202.85,Approved
261,157438,45161,2023-07-11,Wrong Item,361.66,Completed
262,468317,90056,2024-06-14,Changed Mind,73.62,Approved
263,229802,41872,2024-10-10,Wrong Item,166.38,Completed
264,327188,90135,2024-09-07,Changed Mind,225.19,Completed
265,175905,49146,2025-01-21,Changed Mind,251.1,Completed
266,386139,56505,2024-08-08,Changed Mind,149.97,Approved
267,221866,32786,2025-03-13,Changed Mind,444.66,Completed
268,59641,44472,2025-11-21,Wrong Item,232.46,Approved
269,181865,71633,2025-11-09,Damaged,278.78,Completed
270,152307,19004,2024-09-18,Damaged,155.47,Approved
271,93630,99515,2023-10-11,Wrong Item,37.07,Completed
272,420990,29089,2023-08-27,Damaged,288.44,Approved
273,429071,69115,2025-01-19,Late Delivery,191.01,Approved
274,6677,72138,2023-05-27,Changed Mind,472.7,Rejected
275,477530,55446,2024-11-05,Not as Described,399.97,Completed
276,55530,40352,2023-02-06,Damaged,280.56,Completed
277,438418,9183,2023-10-18,Changed Mind,74.13,Rejected
278,209024,13158,2024-05-01,Late Delivery,255.68,Completed
279,68036,65793,2024-05-11,Not as Described,175.6,Completed
280,256782,57931,2024-04-19,Late Delivery,103.11,Completed
281,384805,95120,2025-08-21,Changed Mind,302.27,Completed
282,189204,12166,2023-10-17,Late Delivery,257.56,Completed
283,409070,7150,2024-07-16,Damaged,292.7,Rejected
284,392310,1700,2025-05-29,Not as Described,218.92,Completed
285,169877,76750,2023-06-12,Damaged,292.86,Approved
286,305090,54125,2025-09-12,Not as Described,464.73,Completed
287,105897,18894,2025-05-21,Changed Mind,490.58,Completed
288,494524,21197,2024-04-14,Late Delivery,265.44,Approved
289,335222,46612,2024-10-29,Changed Mind,452.13,Completed
290,167312,3441,2023-03-14,Changed Mind,477.41,Completed
291,23835,75671,2023-12-06,Changed Mind,274.6,Completed
292,343926,29846,2025-04-06,Not as Described,159.18,Completed
293,13706,29382,2023-05-26,Wrong Item,72.81,Completed
294,132475,27215,2023-10-25,Changed Mind,12.99,Completed
295,124582,52544,2025-01-20,Damaged,228.41,Completed
296,360304,38700,2024-08-11,Damaged,167.5,Approved
297,423463,60811,2023-07-04,Late Delivery,403.72,Approved
298,223503,74584,2024-12-17,Changed Mind,30.36,Completed
299,216040,98940,2025-06-06,Damaged,398.06,Completed
300,77179,45809,2023-05-23,Not as Described,234.07,Approved
301,381822,56323,2024-07-28,Wrong Item,401.62,Approved
302,340252,11163,2025-09-15,Not as Described,52.48,Approved
303,266426,79696,2025-09-23,Not as Described,331.06,Completed
304,207085,39597,2025-11-09,Wrong Item,112.2,Completed
305,149642,47584,2023-02-27,Wrong Item,51.04,Completed
306,476047,21125,2025-02-01,Late Delivery,343.97,Completed
307,358943,43753,2023-05-30,Damaged,41.76,Completed
308,209088,27682,2023-11-05,Not as Described,322.62,Completed
309,326927,75737,2025-11-06,Damaged,402.86,Completed
310,323488,91222,2024-10-02,Changed Mind,195.37,Rejected
311,390146,98269,2025-12-02,Wrong Item,355.94,Completed
312,352387,35080,2025-12-05,Damaged,182.5,Approved
313,421309,29880,2024-10-10,Late Delivery,333.71,Completed
314,286841,73985,2025-01-03,Wrong Item,10.29,Approved
315,363389,60144,2024-05-29,Wrong Item,328.93,Approved
316,326630,50666,2023-01-27,Damaged,392.84,Completed
317,239487,48048,2024-02-10,Not as Described,481.09,Completed
318,179578,81766,2023-02-11,Changed Mind,180.85,Completed
319,388381,29236,2025-10-22,Not as Described,256.61,Completed
320,343629,44017,2023-11-07,Damaged,288.2,Completed
321,432611,68649,2024-09-26,Damaged,454.22,Completed
322,338662,57244,2025-11-06,Late Delivery,121.69,Completed
323,34036,94186,2024-07-30,Not as Described,130.8,Rejected
324,276390,4073,2024-06-26,Not as Described,62.39,Completed
325,436966,16509,2023-07-20,Not as Described,403.53,Completed
326,62368,31022,2024-09-18,Late Delivery,192.64,Completed
327,332198,21986,2023-07-18,Changed Mind,226.25,Completed
328,178397,34915,2024-06-23,Late Delivery,387.36,Approved
329,132348,51128,2023-05-18,Damaged,173.45,Approved
330,255259,23167,2024-02-01,Late Delivery,105.58,Approved
331,359271,24991,2024-08-12,Not as Described,259.43,Completed
332,3333,99593,2025-07-30,Changed Mind,99.77,Completed
333,86857,97579,2023-08-14,Not as Described,208.7,Completed
334,223392,59698,2023-07-16,Changed Mind,90.97,Rejected
335,44453,55629,2023-06-19,Damaged,370.48,Completed
336,178900,93378,2024-11-13,Damaged,461.4,Completed
337,495457,35140,2025-02-09,Late Delivery,296.71,Approved
338,19443,9983,2023-12-06,Late Delivery,394.15,Completed
339,324319,34998,2025-11-09,Late Delivery,317.76,Approved
340,188706,80061,2023-08-23,Not as Described,167.49,Completed
341,235322,13924,2024-09-29,Wrong Item,295.58,Completed
342,311846,10031,2025-05-24,Damaged,315.2,Completed
343,126428,50318,2025-05-28,Late Delivery,85.41,Completed
344,498313,834,2024-10-14,Not as Described,434.62,Completed
345,481224,18863,2025-08-25,Changed Mind,495.46,Approved
346,191190,1432,2023-12-24,Late Delivery,255.54,Completed
347,247684,90837,2025-03-26,Damaged,78.29,Completed
348,100474,37208,2025-07-20,Changed Mind,461.92,Approved
349,30281,44453,2025-06-29,Changed Mind,399.25,Completed
350,246255,73294,2023-11-09,Changed Mind,103.69,Rejected
351,24873,10846,2024-07-20,Not as Described,389.06,Completed
352,189413,827,2024-01-23,Changed Mind,280.1,Completed
353,60337,27402,2023-08-21,Late Delivery,301.14,Rejected
354,89,13785,2025-03-24,Not as Described,171.8,Completed
355,275105,35910,2023-12-05,Not as Described,274.86,Completed
356,367206,53641,2024-01-02,Late Delivery,271.17,Approved
357,412588,17345,2023-06-28,Not as Described,392.17,Completed
358,478887,21164,2025-12-08,Changed Mind,61.29,Completed
359,449507,25192,2024-10-22,Late Delivery,194.63,Completed
360,127799,77576,2023-09-11,Not as Described,147.5,Approved
361,161542,20140,2026-01-03,Changed Mind,403.12,Rejected
362,263339,93036,2024-05-30,Late Delivery,459.52,Rejected
363,215725,44003,2023-08-31,Damaged,388.89,Completed
364,207754,93152,2024-11-17,Late Delivery,134.2,Completed
365,142901,37232,2025-02-12,Changed Mind,209.9,Completed
366,99132,47463,2023-12-22,Damaged,250.36,Completed
367,292103,55181,2025-10-18,Not as Described,243.09,Approved
368,17492,46426,2024-09-16,Damaged,166.27,Approved
369,364334,21084,2024-10-07,Not as Described,99.76,Completed
370,355521,57820,2024-12-22,Changed Mind,181.76,Approved
371,352381,14830,2025-10-25,Changed Mind,205.97,Completed
372,154080,13071,2025-09-04,Not as Described,167.96,Approved
373,331693,94235,2023-09-21,Changed Mind,237.94,Approved
374,37829,42575,2024-06-23,Late Delivery,281.74,Completed
375,10152,95854,2024-04-30,Damaged,32.35,Completed
376,65231,99936,2023-10-09,Changed Mind,257.95,Completed
377,198106,78279,2024-11-04,Late Delivery,266.88,Completed
378,387751,58080,2023-04-23,Wrong Item,340.13,Completed
379,335452,70537,2025-11-22,Changed Mind,445.34,Completed
380,340298,4997,2024-03-09,Wrong Item,244.88,Completed
381,161990,36195,2024-04-20,Not as Described,303.19,Approved
382,118467,84334,2024-07-12,Changed Mind,123.44,Completed
383,311424,76186,2024-07-07,Damaged,217.86,Completed
384,499162,16128,2023-09-27,Not as Described,72.18,Approved
385,42231,37558,2023-07-13,Changed Mind,160.58,Completed
386,118731,99768,2025-11-20,Not as Described,27.05,Completed
387,26190,92367,2023-02-03,Wrong Item,278.15,Completed
388,122379,86987,2023-04-03,Wrong Item,175.2,Completed
389,409106,77109,2025-11-15,Late Delivery,134.66,Completed
390,166738,3399,2023-11-23,Not as Described,265.06,Completed
391,356322,11380,2023-04-07,Changed Mind,363.04,Completed
392,25122,9272,2024-02-28,Changed Mind,466.4,Completed
393,134509,44893,2023-05-23,Not as Described,335.66,Approved
394,359839,87877,2024-04-28,Damaged,322.58,Approved
395,422444,77770,2025-07-16,Changed Mind,375.41,Rejected
396,313291,83933,2025-07-31,Damaged,357.68,Completed
397,214299,75217,2024-12-17,Late Delivery,287.71,Completed
398,455350,7175,2024-11-18,Not as Described,279.25,Completed
399,287193,4484,2023-02-28,Not as Described,162.62,Completed
400,178465,46368,2025-10-11,Late Delivery,55.07,Completed
401,375299,12715,2025-12-31,Damaged,303.07,Rejected
402,89277,2009,2025-09-15,Damaged,474.53,Approved
403,377881,37648,2023-07-16,Damaged,52.67,Approved
404,487342,29435,2025-04-12,Wrong Item,54.77,Completed
405,251408,69925,2023-09-11,Not as Described,386.77,Completed
406,436887,92625,2026-01-07,Late Delivery,91.23,Completed
407,371910,14569,2023-05-29,Late Delivery,407.55,Completed
408,451644,3855,2023-03-22,Late Delivery,323.67,Completed
409,458439,47046,2024-03-18,Changed Mind,98.99,Approved
410,299697,69576,2023-06-24,Damaged,166.78,Completed
411,286106,5479,2024-08-26,Damaged,230.2,Completed
412,188257,48257,2023-05-02,Changed Mind,414.17,Completed
413,443567,14896,2023-11-22,Changed Mind,353.81,Completed
414,91180,22242,2023-07-08,Late Delivery,481.96,Completed
415,375454,5679,2023-03-07,Late Delivery,65.93,Completed
416,77982,87655,2024-04-04,Not as Described,16.92,Completed
417,395465,16843,2024-03-23,Damaged,494.68,Rejected
418,346605,1702,2023-02-11,Not as Described,216.74,Approved
419,30423,61076,2023-06-21,Damaged,116.5,Completed
420,168147,90436,2025-04-19,Changed Mind,66.6,Approved
421,337781,6354,2024-03-10,Late Delivery,458.44,Completed
422,342741,67755,2023-06-24,Damaged,132.16,Completed
423,70304,29619,2024-11-24,Wrong Item,427.22,Completed
424,110098,89910,2024-07-30,Changed Mind,102.41,Completed
425,390400,108,2024-05-05,Late Delivery,323.07,Completed
426,433426,73979,2023-11-24,Wrong Item,149.39,Completed
427,295706,61817,2025-12-29,Changed Mind,377.67,Completed
428,263987,9372,2023-05-07,Not as Described,274.34,Completed
429,87938,63831,2023-03-30,Not as Described,100.38,Rejected
430,25968,36476,2025-11-03,Changed Mind,115.34,Completed
431,167883,80992,2023-07-24,Damaged,285.62,Approved
432,424239,88103,2025-08-28,Damaged,353.85,Completed
433,133902,58563,2023-10-14,Changed Mind,238.98,Completed
434,370870,29929,2024-03-08,Wrong Item,446.87,Completed
435,92924,17770,2024-10-09,Not as Described,452.5,Approved
436,166918,75898,2024-12-08,Changed Mind,156.01,Completed
437,296055,72331,2023-02-04,Late Delivery,434.64,Completed
438,165884,82093,2023-12-27,Wrong Item,318.22,Approved
439,384922,96247,2024-08-12,Changed Mind,194.34,Completed
440,385845,96202,2023-08-21,Late Delivery,141.82,Completed
441,365073,89244,2023-08-10,Late Delivery,460.1,Approved
442,458348,6796,2024-08-16,Late Delivery,454.14,Approved
443,108490,16768,2025-08-21,Wrong Item,150.42,Completed
444,456120,67555,2024-12-12,Changed Mind,22.23,Completed
445,92342,44482,2024-07-04,Wrong Item,386.78,Rejected
446,204836,13206,2024-06-06,Late Delivery,61.93,Completed
447,50597,91632,2024-03-22,Changed Mind,54.58,Approved
448,403059,59919,2023-07-17,Changed Mind,412.45,Rejected
449,234623,16509,2023-10-29,Changed Mind,318.96,Rejected
450,59860,45627,2024-01-12,Wrong Item,352.31,Rejected
451,68578,22204,2025-03-13,Changed Mind,64.79,Completed
452,249827,42019,2025-09-17,Changed Mind,174.45,Completed
453,367002,14429,2025-03-26,Late Delivery,199.22,Approved
454,10515,28083,2025-02-07,Damaged,382.46,Approved
455,480663,6269,2025-12-16,Late Delivery,497.97,Approved
456,62262,9185,2024-12-23,Late Delivery,422.66,Approved
457,296177,26305,2023-09-30,Damaged,451.91,Completed
458,373468,11352,2023-07-15,Changed Mind,99.62,Completed
459,388252,39306,2024-11-06,Changed Mind,189.29,Approved
460,3665,69348,2024-02-12,Late Delivery,128.33,Completed
461,380642,87239,2025-08-04,Not as Described,219.42,Rejected
462,395286,80152,2024-07-03,Damaged,369.31,Completed
463,94844,38170,2025-05-05,Not as Described,117.11,Completed
464,287455,79438,2026-01-04,Late Delivery,218.52,Completed
465,189185,41411,2023-08-17,Damaged,279.69,Completed
466,195758,48153,2025-01-05,Late Delivery,325.27,Completed
467,378170,58646,2025-12-01,Late Delivery,370.41,Approved
468,176689,70725,2023-03-05,Not as Described,339.7,Completed
469,69874,72158,2024-10-01,Damaged,243.49,Completed
470,25734,96686,2024-11-01,Wrong Item,438.41,Completed
471,166688,39740,2024-03-07,Damaged,343.73,Completed
472,147117,88588,2024-07-13,Changed Mind,193.98,Approved
