supplier_id,supplier_name,country,supplier_rating,active_flag
172,Supplier 0172,Azerbaijan,4.26,Y
173,Supplier 0173,United States,3.54,Y
174,Supplier 0174,Germany,4.75,Y
175,Supplier 0175,Italy,4.06,N
176,Supplier 0176,Turkey,4.6,Y
177,Supplier 0177,Spain,4.25,Y
178,Supplier 0178,United Kingdom,4.31,Y
179,Supplier 0179,Kazakhstan,4.36,Y
180,Supplier 0180,Turkey,4.3,Y
181,Supplier 0181,United Kingdom,4.39,Y
182,Supplier 0182,Turkey,4.7,Y
183,Supplier 0183,Kazakhstan,4.19,Y
184,Supplier 0184,Georgia,4.42,Y
185,Supplier 0185,Germany,4.06,Y
186,Supplier 0186,Italy,4.75,Y
187,Supplier 0187,UAE,3.8,Y
188,Supplier 0188,France,4.91,Y
189,Supplier 0189,United States,4.08,Y
190,Supplier 0190,Germany,3.46,Y
191,Supplier 0191,Turkey,4.16,Y
192,Supplier 0192,Georgia,3.79,Y
193,Supplier 0193,Georgia,4.48,Y
194,Supplier 0194,Italy,3.81,Y
195,Supplier 0195,United Kingdom,3.9,Y
196,Supplier 0196,United Kingdom,3.25,Y
197,Supplier 0197,Spain,3.9,Y
198,Supplier 0198,Georgia,3.01,Y
199,Supplier 0199,Georgia,3.39,Y
200,Supplier 0200,Poland,4.44,N
201,Supplier 0201,Italy,4.45,Y
202,Supplier 0202,Turkey,4.29,Y
203,Supplier 0203,Turkey,3.66,Y
204,Supplier 0204,Georgia,4.08,Y
205,Supplier 0205,France,4.1,Y
206,Supplier 0206,Azerbaijan,3.58,Y
207,Supplier 0207,Turkey,4.78,Y
208,Supplier 0208,Italy,4.49,Y
209,Supplier 0209,Azerbaijan,4.0,Y
210,Supplier 0210,Turkey,4.11,Y
211,Supplier 0211,France,4.19,Y
212,Supplier 0212,Spain,3.18,Y
213,Supplier 0213,Italy,3.99,N
214,Supplier 0214,Germany,3.79,Y
215,Supplier 0215,Spain,3.65,Y
216,Supplier 0216,Germany,3.97,Y
217,Supplier 0217,United Kingdom,4.91,Y
218,Supplier 0218,Poland,4.39,Y
219,Supplier 0219,Italy,3.84,Y
220,Supplier 0220,UAE,4.36,Y
221,Supplier 0221,Italy,4.73,Y
222,Supplier 0222,France,4.52,Y
223,Supplier 0223,Turkey,4.13,Y
224,Supplier 0224,United Kingdom,3.81,Y
225,Supplier 0225,Germany,4.41,Y
226,Supplier 0226,Germany,4.28,Y
227,Supplier 0227,Kazakhstan,4.5,Y
228,Supplier 0228,United Kingdom,4.39,Y
229,Supplier 0229,Georgia,4.57,Y
230,Supplier 0230,Italy,3.86,Y
231,Supplier 0231,Poland,4.69,Y
232,Supplier 0232,United States,4.19,Y
233,Supplier 0233,France,5.0,Y
234,Supplier 0234,United States,3.79,Y
235,Supplier 0235,Turkey,4.88,Y
236,Supplier 0236,Spain,4.19,Y
237,Supplier 0237,Germany,3.81,Y
238,Supplier 0238,Azerbaijan,3.88,Y
239,Supplier 0239,Italy,3.96,Y
240,Supplier 0240,Turkey,4.29,Y
241,Supplier 0241,Kazakhstan,4.34,Y
242,Supplier 0242,Kazakhstan,3.84,Y
243,Supplier 0243,Georgia,4.09,Y
244,Supplier 0244,United Kingdom,5.0,N
245,Supplier 0245,Azerbaijan,4.88,Y
246,Supplier 0246,Kazakhstan,4.3,Y
247,Supplier 0247,United States,4.12,Y
248,Supplier 0248,Kazakhstan,4.15,Y
249,Supplier 0249,Kazakhstan,4.38,Y
250,Supplier 0250,UAE,3.64,Y
251,Supplier 0251,Germany,3.98,Y
252,Supplier 0252,United Kingdom,3.35,Y
253,Supplier 0253,UAE,4.28,Y
254,Supplier 0254,United Kingdom,4.39,Y
255,Supplier 0255,Turkey,3.88,Y
256,Supplier 0256,France,4.81,Y
257,Supplier 0257,Kazakhstan,3.55,Y
258,Supplier 0258,Spain,3.44,Y
259,Supplier 0259,France,4.2,Y
260,Supplier 0260,Turkey,4.57,Y
261,Supplier 0261,Italy,4.86,Y
262,Supplier 0262,Kazakhstan,3.89,Y
263,Supplier 0263,Turkey,4.59,Y
264,Supplier 0264,United States,4.08,Y
265,Supplier 0265,Georgia,4.02,Y
266,Supplier 0266,Poland,4.5,Y
267,Supplier 0267,Spain,4.39,Y
268,Supplier 0268,Spain,3.39,Y
269,Supplier 0269,United Kingdom,4.76,Y
270,Supplier 0270,Germany,4.72,Y
271,Supplier 0271,UAE,3.82,Y
272,Supplier 0272,UAE,4.28,Y
273,Supplier 0273,UAE,4.32,Y
274,Supplier 0274,Georgia,4.22,Y
275,Supplier 0275,United States,3.85,Y
276,Supplier 0276,United States,3.8,Y
277,Supplier 0277,Poland,4.09,Y
278,Supplier 0278,Italy,4.63,Y
279,Supplier 0279,Spain,4.34,Y
280,Supplier 0280,Poland,3.93,Y
281,Supplier 0281,Georgia,4.45,Y
282,Supplier 0282,United Kingdom,2.82,Y
283,Supplier 0283,United Kingdom,4.62,Y
284,Supplier 0284,Turkey,3.32,Y
285,Supplier 0285,France,3.94,Y
286,Supplier 0286,Azerbaijan,3.6,Y
287,Supplier 0287,United States,3.52,Y
288,Supplier 0288,France,4.62,Y
289,Supplier 0289,Germany,3.89,Y
290,Supplier 0290,France,4.26,Y
291,Supplier 0291,Azerbaijan,4.08,N
292,Supplier 0292,Azerbaijan,4.31,Y
293,Supplier 0293,UAE,4.13,Y
294,Supplier 0294,United Kingdom,3.52,Y
295,Supplier 0295,Turkey,4.55,Y
296,Supplier 0296,United States,3.88,Y
297,Supplier 0297,Poland,3.4,Y
298,Supplier 0298,Germany,3.91,Y
299,Supplier 0299,Italy,4.78,Y
300,Supplier 0300,Turkey,4.48,Y
301,Supplier 0301,Azerbaijan,3.94,Y
302,Supplier 0302,United States,3.94,Y
303,Supplier 0303,France,3.96,Y
304,Supplier 0304,Italy,5.0,Y
305,Supplier 0305,Spain,4.27,Y
306,Supplier 0306,Kazakhstan,4.29,Y
307,Supplier 0307,United States,4.56,Y
308,Supplier 0308,United Kingdom,4.21,Y
309,Supplier 0309,Poland,3.98,Y
310,Supplier 0310,Germany,4.01,Y
311,Supplier 0311,United States,4.07,Y
312,Supplier 0312,Azerbaijan,4.08,Y
313,Supplier 0313,Azerbaijan,4.43,Y
314,Supplier 0314,Kazakhstan,4.12,Y
315,Supplier 0315,UAE,4.43,Y
316,Supplier 0316,Spain,4.06,Y
317,Supplier 0317,United States,4.14,Y
318,Supplier 0318,Turkey,3.2,Y
319,Supplier 0319,Turkey,4.51,Y
320,Supplier 0320,Germany,4.26,Y
321,Supplier 0321,France,4.55,Y
322,Supplier 0322,Spain,2.8,Y
323,Supplier 0323,Italy,5.0,Y
324,Supplier 0324,Germany,4.04,Y
325,Supplier 0325,Kazakhstan,4.6,Y
326,Supplier 0326,Spain,3.63,Y
327,Supplier 0327,France,4.38,Y
328,Supplier 0328,Italy,3.63,Y
329,Supplier 0329,United States,3.82,Y
330,Supplier 0330,Germany,4.96,Y
331,Supplier 0331,United Kingdom,4.01,Y
332,Supplier 0332,Poland,4.2,Y
333,Supplier 0333,Azerbaijan,4.49,Y
334,Supplier 0334,Turkey,4.32,Y
335,Supplier 0335,Azerbaijan,4.17,Y
336,Supplier 0336,Azerbaijan,4.26,Y
337,Supplier 0337,UAE,5.0,Y
338,Supplier 0338,Spain,4.07,Y
339,Supplier 0339,United States,4.19,Y
340,Supplier 0340,Turkey,4.57,Y
341,Supplier 0341,United States,4.6,Y
342,Supplier 0342,United States,4.63,Y
343,Supplier 0343,Turkey,4.39,Y
344,Supplier 0344,United States,3.59,Y
345,Supplier 0345,United Kingdom,4.84,Y
346,Supplier 0346,Italy,3.58,Y
347,Supplier 0347,Italy,4.24,Y
348,Supplier 0348,Azerbaijan,3.76,Y
349,Supplier 0349,United Kingdom,4.07,Y
350,Supplier 0350,Italy,4.25,Y
351,Supplier 0351,United States,4.24,Y
352,Supplier 0352,UAE,4.29,Y
353,Supplier 0353,Italy,4.83,Y
354,Supplier 0354,Turkey,4.3,Y
355,Supplier 0355,Azerbaijan,3.99,Y
356,Supplier 0356,Italy,4.53,Y
357,Supplier 0357,Azerbaijan,4.64,Y
358,Supplier 0358,France,3.55,Y
359,Supplier 0359,Kazakhstan,4.37,Y
360,Supplier 0360,France,4.42,Y
361,Supplier 0361,United Kingdom,3.97,Y
362,Supplier 0362,Italy,4.72,Y
363,Supplier 0363,United States,4.03,Y
364,Supplier 0364,France,4.16,Y
365,Supplier 0365,Kazakhstan,4.02,Y
366,Supplier 0366,United Kingdom,4.11,Y
367,Supplier 0367,Kazakhstan,3.61,Y
368,Supplier 0368,Georgia,3.45,Y
369,Supplier 0369,Turkey,4.82,Y
370,Supplier 0370,Azerbaijan,3.72,Y
371,Supplier 0371,Turkey,3.65,Y
372,Supplier 0372,Azerbaijan,3.13,Y
373,Supplier 0373,Turkey,3.81,Y
374,Supplier 0374,Spain,3.5,Y
375,Supplier 0375,Azerbaijan,4.84,Y
376,Supplier 0376,United Kingdom,4.55,Y
377,Supplier 0377,UAE,3.79,Y
378,Supplier 0378,Azerbaijan,5.0,Y
379,Supplier 0379,UAE,4.54,Y
380,Supplier 0380,Germany,3.95,Y
381,Supplier 0381,Turkey,2.98,Y
382,Supplier 0382,Spain,5.0,Y
383,Supplier 0383,Italy,3.47,Y
384,Supplier 0384,Georgia,3.36,Y
385,Supplier 0385,Spain,4.56,Y
386,Supplier 0386,UAE,5.0,Y
387,Supplier 0387,Germany,4.72,Y
388,Supplier 0388,Turkey,4.35,Y
389,Supplier 0389,Poland,4.37,Y
390,Supplier 0390,UAE,4.48,Y
391,Supplier 0391,Kazakhstan,4.44,Y
392,Supplier 0392,United States,4.23,Y
393,Supplier 0393,United Kingdom,4.15,Y
394,Supplier 0394,Poland,4.07,Y
395,Supplier 0395,United Kingdom,3.76,Y
396,Supplier 0396,Kazakhstan,3.97,Y
397,Supplier 0397,UAE,3.34,Y
398,Supplier 0398,United States,4.06,Y
399,Supplier 0399,Poland,3.66,Y
400,Supplier 0400,Poland,3.6,Y
401,Supplier 0401,Turkey,4.18,Y
402,Supplier 0402,Georgia,4.73,Y
403,Supplier 0403,United States,4.51,Y
404,Supplier 0404,UAE,3.39,Y
405,Supplier 0405,United Kingdom,3.65,Y
406,Supplier 0406,Georgia,4.52,Y
407,Supplier 0407,United Kingdom,3.66,Y
408,Supplier 0408,Azerbaijan,4.0,Y
409,Supplier 0409,Georgia,4.35,Y
410,Supplier 0410,Turkey,3.66,Y
411,Supplier 0411,United Kingdom,4.15,Y
412,Supplier 0412,Kazakhstan,3.5,Y
413,Supplier 0413,Kazakhstan,3.83,Y
414,Supplier 0414,France,4.24,Y
415,Supplier 0415,Italy,3.38,Y
416,Supplier 0416,United States,4.3,N
417,Supplier 0417,Germany,4.09,Y
418,Supplier 0418,United Kingdom,4.35,Y
419,Supplier 0419,Italy,4.2,Y
420,Supplier 0420,Poland,4.71,Y
421,Supplier 0421,Poland,4.16,Y
422,Supplier 0422,Poland,3.91,Y
423,Supplier 0423,Turkey,4.16,Y
424,Supplier 0424,United States,4.34,Y
425,Supplier 0425,Azerbaijan,4.12,Y
426,Supplier 0426,France,4.12,Y
427,Supplier 0427,United States,3.78,Y
428,Supplier 0428,Georgia,3.8,Y
429,Supplier 0429,United Kingdom,3.47,Y
430,Supplier 0430,Turkey,4.89,Y
431,Supplier 0431,Turkey,3.54,Y
432,Supplier 0432,Poland,3.79,N
433,Supplier 0433,Italy,3.78,Y
434,Supplier 0434,Turkey,4.5,Y
435,Supplier 0435,Turkey,3.97,Y
436,Supplier 0436,Spain,4.66,Y
437,Supplier 0437,Azerbaijan,3.8,Y
438,Supplier 0438,UAE,4.23,Y
439,Supplier 0439,Spain,3.72,Y
440,Supplier 0440,Turkey,5.0,Y
441,Supplier 0441,Turkey,3.57,Y
442,Supplier 0442,Kazakhstan,4.24,Y
443,Supplier 0443,United Kingdom,4.39,Y
444,Supplier 0444,United Kingdom,4.29,Y
445,Supplier 0445,UAE,4.02,Y
446,Supplier 0446,Kazakhstan,4.04,Y
447,Supplier 0447,Kazakhstan,4.12,Y
448,Supplier 0448,Poland,4.03,Y
449,Supplier 0449,United Kingdom,4.53,Y
450,Supplier 0450,Turkey,5.0,Y
451,Supplier 0451,Poland,3.85,N
452,Supplier 0452,France,3.48,Y
453,Supplier 0453,United States,4.06,Y
454,Supplier 0454,Georgia,5.0,Y
455,Supplier 0455,Turkey,3.74,Y
456,Supplier 0456,United States,4.84,Y
457,Supplier 0457,Azerbaijan,4.85,Y
458,Supplier 0458,United States,3.85,Y
459,Supplier 0459,Azerbaijan,4.36,Y
460,Supplier 0460,Turkey,4.83,Y
461,Supplier 0461,Turkey,3.93,Y
462,Supplier 0462,Italy,4.01,Y
463,Supplier 0463,Poland,3.84,Y
464,Supplier 0464,France,3.64,Y
465,Supplier 0465,Kazakhstan,3.81,Y
466,Supplier 0466,United Kingdom,3.55,Y
467,Supplier 0467,Germany,4.12,Y
468,Supplier 0468,UAE,3.75,Y
469,Supplier 0469,Germany,4.21,Y
470,Supplier 0470,Kazakhstan,3.4,Y
471,Supplier 0471,Azerbaijan,4.25,Y
472,Supplier 0472,Kazakhstan,4.48,Y
473,Supplier 0473,Azerbaijan,3.2,Y
474,Supplier 0474,Georgia,4.27,Y
475,Supplier 0475,United States,4.65,Y
476,Supplier 0476,Kazakhstan,3.56,Y
477,Supplier 0477,Azerbaijan,4.85,Y
478,Supplier 0478,France,4.29,Y
479,Supplier 0479,Kazakhstan,3.78,Y
480,Supplier 0480,United States,4.07,Y
481,Supplier 0481,Italy,4.35,Y
482,Supplier 0482,Spain,4.13,Y
483,Supplier 0483,United States,4.34,Y
484,Supplier 0484,Italy,3.69,Y
485,Supplier 0485,France,4.18,Y
486,Supplier 0486,Georgia,3.46,Y
487,Supplier 0487,Azerbaijan,4.05,Y
488,Supplier 0488,Germany,3.69,Y
489,Supplier 0489,Kazakhstan,3.77,Y
490,Supplier 0490,Georgia,4.66,Y
491,Supplier 0491,United States,4.59,Y
492,Supplier 0492,Italy,4.37,Y
493,Supplier 0493,Germany,3.61,Y
494,Supplier 0494,Turkey,3.96,Y
495,Supplier 0495,United States,4.65,Y
496,Supplier 0496,United Kingdom,4.16,Y
497,Supplier 0497,France,5.0,N
498,Supplier 0498,Azerbaijan,4.28,Y
499,Supplier 0499,Kazakhstan,4.19,Y
500,Supplier 0500,Kazakhstan,3.96,Y
501,Supplier 0501,Spain,4.16,Y
502,Supplier 0502,United States,4.03,Y
503,Supplier 0503,United Kingdom,4.42,Y
504,Supplier 0504,UAE,4.53,N
505,Supplier 0505,Spain,3.75,Y
506,Supplier 0506,Turkey,3.5,N
507,Supplier 0507,Georgia,3.27,Y
508,Supplier 0508,UAE,4.33,Y
509,Supplier 0509,Kazakhstan,3.6,Y
510,Supplier 0510,Spain,3.13,Y
511,Supplier 0511,Italy,4.27,Y
512,Supplier 0512,United States,5.0,Y
513,Supplier 0513,Kazakhstan,4.1,N
514,Supplier 0514,UAE,4.48,Y
515,Supplier 0515,Azerbaijan,4.14,Y
516,Supplier 0516,Azerbaijan,4.06,Y
517,Supplier 0517,United Kingdom,4.51,Y
518,Supplier 0518,UAE,3.97,Y
519,Supplier 0519,Kazakhstan,4.22,Y
520,Supplier 0520,Turkey,4.24,N
521,Supplier 0521,France,3.8,Y
522,Supplier 0522,United Kingdom,4.55,Y
523,Supplier 0523,Kazakhstan,4.02,Y
524,Supplier 0524,UAE,3.76,Y
525,Supplier 0525,UAE,4.34,Y
526,Supplier 0526,United States,3.7,Y
527,Supplier 0527,United States,4.11,Y
528,Supplier 0528,Germany,4.1,Y
529,Supplier 0529,Azerbaijan,4.59,Y
530,Supplier 0530,UAE,4.31,Y
531,Supplier 0531,UAE,4.09,Y
532,Supplier 0532,Kazakhstan,4.47,Y
533,Supplier 0533,Kazakhstan,4.73,Y
534,Supplier 0534,France,4.35,Y
535,Supplier 0535,Poland,4.1,Y
536,Supplier 0536,Kazakhstan,3.51,Y
537,Supplier 0537,UAE,3.62,Y
538,Supplier 0538,Germany,3.96,Y
539,Supplier 0539,United States,3.83,Y
540,Supplier 0540,Turkey,4.02,Y
541,Supplier 0541,Kazakhstan,4.13,Y
542,Supplier 0542,France,4.34,Y
543,Supplier 0543,Germany,4.07,Y
544,Supplier 0544,Italy,4.32,Y
545,Supplier 0545,Italy,4.13,Y
546,Supplier 0546,United Kingdom,3.21,Y
547,Supplier 0547,Turkey,3.68,Y
548,Supplier 0548,Italy,4.04,Y
549,Supplier 0549,United States,3.56,Y
550,Supplier 0550,Poland,4.37,Y
551,Supplier 0551,United States,4.79,N
552,Supplier 0552,UAE,4.65,Y
553,Supplier 0553,France,4.0,Y
554,Supplier 0554,France,4.77,Y
555,Supplier 0555,Georgia,4.17,Y
556,Supplier 0556,United States,3.95,Y
557,Supplier 0557,Turkey,3.82,Y
558,Supplier 0558,Azerbaijan,3.96,Y
559,Supplier 0559,Poland,3.93,Y
560,Supplier 0560,Italy,4.18,Y
561,Supplier 0561,Spain,4.17,Y
562,Supplier 0562,Germany,4.1,Y
563,Supplier 0563,Turkey,4.3,Y
564,Supplier 0564,Azerbaijan,4.64,Y
565,Supplier 0565,United Kingdom,4.53,Y
566,Supplier 0566,France,3.43,Y
567,Supplier 0567,United Kingdom,2.95,Y
568,Supplier 0568,United States,4.52,Y
569,Supplier 0569,Georgia,3.48,Y
570,Supplier 0570,United Kingdom,4.0,Y
571,Supplier 0571,United States,3.57,Y
572,Supplier 0572,Poland,3.29,Y
573,Supplier 0573,United Kingdom,4.34,Y
574,Supplier 0574,Italy,4.44,Y
575,Supplier 0575,UAE,3.84,Y
576,Supplier 0576,Kazakhstan,2.93,Y
577,Supplier 0577,Turkey,3.85,Y
578,Supplier 0578,Kazakhstan,4.28,Y
579,Supplier 0579,United States,3.43,Y
580,Supplier 0580,Germany,4.18,Y
581,Supplier 0581,United States,4.09,Y
582,Supplier 0582,Kazakhstan,4.36,Y
583,Supplier 0583,United States,4.15,Y
584,Supplier 0584,United Kingdom,3.66,Y
585,Supplier 0585,Italy,4.64,Y
586,Supplier 0586,Germany,4.03,Y
587,Supplier 0587,Azerbaijan,4.09,Y
588,Supplier 0588,Turkey,3.68,Y
589,Supplier 0589,Turkey,3.9,Y
590,Supplier 0590,Turkey,3.7,Y
591,Supplier 0591,Turkey,4.02,Y
592,Supplier 0592,Italy,4.87,Y
593,Supplier 0593,Turkey,3.48,Y
594,Supplier 0594,United Kingdom,3.37,Y
595,Supplier 0595,Georgia,4.76,Y
596,Supplier 0596,United States,4.01,Y
597,Supplier 0597,Italy,3.8,Y
598,Supplier 0598,Turkey,4.57,Y
599,Supplier 0599,Turkey,3.83,Y
600,Supplier 0600,Azerbaijan,4.92,Y
601,Supplier 0601,Turkey,4.41,Y
602,Supplier 0602,Germany,3.88,Y
603,Supplier 0603,Turkey,5.0,Y
604,Supplier 0604,Turkey,3.83,Y
605,Supplier 0605,Turkey,4.43,Y
606,Supplier 0606,United States,4.23,Y
607,Supplier 0607,Germany,4.69,Y
608,Supplier 0608,United Kingdom,4.8,Y
609,Supplier 0609,United States,4.11,Y
610,Supplier 0610,Spain,3.76,Y
611,Supplier 0611,Azerbaijan,4.31,Y
612,Supplier 0612,Poland,3.8,Y
613,Supplier 0613,Italy,5.0,Y
614,Supplier 0614,Turkey,4.16,Y
615,Supplier 0615,Georgia,3.94,Y
616,Supplier 0616,Kazakhstan,4.18,Y
617,Supplier 0617,Azerbaijan,3.49,Y
618,Supplier 0618,Germany,3.66,Y
619,Supplier 0619,UAE,4.64,Y
620,Supplier 0620,Poland,3.8,Y
621,Supplier 0621,Turkey,3.63,N
622,Supplier 0622,Germany,4.34,Y
623,Supplier 0623,United Kingdom,4.63,Y
624,Supplier 0624,United States,4.42,Y
625,Supplier 0625,Italy,4.55,Y
626,Supplier 0626,United Kingdom,3.76,Y
627,Supplier 0627,United States,3.46,Y
628,Supplier 0628,Poland,4.78,Y
629,Supplier 0629,Azerbaijan,3.95,Y
630,Supplier 0630,Germany,3.99,Y
631,Supplier 0631,Spain,4.7,Y
632,Supplier 0632,Georgia,4.35,Y
633,Supplier 0633,United States,4.31,Y
634,Supplier 0634,United States,5.0,Y
635,Supplier 0635,Turkey,3.81,Y
