ticket_id,customer_id,created_date,category,priority,status,resolution_hours
118,74443,2024-10-13,Return,Low,Closed,18.8
119,14883,2023-10-14,Delivery,Low,Resolved,0.9
120,43467,2024-07-25,Product,Medium,Resolved,3.5
121,10523,2023-01-19,Return,Medium,Resolved,10.0
122,91967,2025-08-31,Delivery,Medium,Closed,8.8
123,31232,2023-02-21,Product,Low,Closed,26.4
124,4181,2023-09-13,Delivery,Low,Closed,2.3
125,92594,2024-03-06,Return,High,Closed,9.1
126,31882,2024-01-09,Other,Low,Resolved,5.6
127,41088,2023-03-01,Return,High,Closed,7.9
128,77352,2024-05-12,Product,Medium,Resolved,14.6
129,40687,2024-08-03,Payment,Low,Open,6.4
130,95368,2023-05-15,Other,Low,Resolved,4.7
131,80252,2024-10-08,Product,Low,Closed,1.2
132,25290,2023-07-19,Payment,Medium,Resolved,7.1
133,76202,2024-09-07,Product,Low,Closed,1.3
134,20685,2024-01-25,Delivery,Medium,Resolved,3.9
135,75464,2025-12-07,Return,High,Resolved,11.3
136,44738,2025-11-29,Delivery,Medium,Resolved,3.3
137,24358,2023-07-29,Other,Low,Resolved,5.2
138,28918,2023-04-17,Other,Medium,Resolved,19.7
139,81396,2024-12-23,Delivery,Medium,Resolved,13.6
140,95296,2024-04-11,Other,Low,Resolved,10.9
141,82365,2024-08-19,Return,Medium,Closed,7.4
142,29745,2023-04-04,Other,Medium,In Progress,2.8
143,99085,2024-02-22,Payment,Medium,Resolved,2.8
144,13786,2024-11-25,Delivery,Medium,Resolved,5.3
145,14231,2024-06-17,Return,Low,Closed,9.9
146,39814,2024-08-11,Product,Medium,Closed,5.2
147,25959,2025-08-13,Delivery,Low,Closed,12.9
148,14776,2024-08-06,Return,High,Closed,7.3
149,92064,2024-09-23,Account,Medium,Resolved,4.5
150,18757,2025-01-07,Product,High,Resolved,6.7
151,8025,2024-08-08,Return,Low,Resolved,14.3
152,12583,2024-03-07,Product,Medium,Resolved,9.7
153,35666,2023-05-20,Other,Low,Resolved,7.7
154,11220,2024-05-16,Product,Medium,Resolved,7.5
155,29072,2024-07-31,Delivery,Low,Resolved,25.0
156,90657,2023-03-14,Product,Low,Resolved,1.6
157,41057,2024-11-23,Delivery,High,Closed,2.3
158,60492,2023-02-22,Other,High,In Progress,4.2
159,41976,2024-01-15,Delivery,Medium,Resolved,11.5
160,78742,2024-04-05,Account,Low,In Progress,9.4
161,52577,2023-05-25,Account,Medium,Resolved,2.0
162,81821,2025-02-19,Delivery,Medium,Closed,10.5
163,95705,2024-01-25,Delivery,Medium,Resolved,2.5
164,98712,2023-11-10,Payment,Low,Closed,10.4
165,60247,2023-02-15,Account,Medium,Closed,9.1
166,69608,2025-03-01,Delivery,Low,Resolved,12.0
167,17092,2023-09-10,Payment,Low,Resolved,8.3
168,39730,2025-10-12,Delivery,Low,Closed,12.1
169,67550,2025-01-21,Payment,Medium,Closed,4.5
170,42365,2024-10-28,Product,Low,Resolved,1.4
171,81083,2025-07-21,Product,High,Closed,16.4
172,79666,2023-11-22,Payment,Low,Closed,5.3
173,93246,2024-10-11,Product,Medium,Resolved,1.9
174,92136,2023-03-12,Product,High,Resolved,10.8
175,56273,2025-10-20,Other,Low,In Progress,5.1
176,93533,2024-04-06,Delivery,Medium,Open,8.9
177,27265,2025-09-19,Return,Medium,Closed,6.4
178,31571,2023-12-23,Other,High,Resolved,2.8
179,65434,2025-03-20,Return,Low,Resolved,8.2
180,7818,2024-12-24,Delivery,Medium,Closed,10.2
181,25442,2024-10-14,Delivery,Medium,Resolved,19.0
182,54466,2023-02-14,Payment,High,In Progress,5.5
183,92056,2025-08-27,Delivery,Medium,Closed,19.1
184,88344,2025-09-19,Other,Medium,Resolved,10.7
185,61758,2023-07-19,Other,High,Resolved,7.2
186,433,2024-10-31,Product,High,Resolved,1.0
187,45285,2024-11-10,Other,Medium,Resolved,20.1
188,2148,2023-10-29,Delivery,Medium,In Progress,2.1
189,55324,2023-09-15,Delivery,Low,Resolved,6.4
190,63719,2023-03-04,Delivery,Medium,Closed,9.2
191,72525,2025-04-08,Product,Medium,Resolved,13.3
192,18706,2025-07-15,Return,Medium,Resolved,2.2
193,9360,2025-11-18,Delivery,High,Resolved,2.2
194,31301,2025-04-25,Payment,Medium,In Progress,5.9
195,64198,2025-12-13,Return,Medium,Closed,3.2
196,80706,2025-01-16,Product,Low,In Progress,5.0
197,40971,2024-08-14,Product,Low,Resolved,7.7
198,5042,2025-01-19,Return,High,Closed,8.9
199,9856,2025-10-23,Delivery,Low,Resolved,13.5
200,83469,2023-02-02,Delivery,Low,Closed,12.1
201,66965,2023-05-12,Payment,Low,In Progress,6.5
202,85296,2023-04-05,Delivery,Medium,Open,6.7
203,37729,2024-04-29,Delivery,Low,Closed,11.9
204,88267,2025-06-02,Other,High,Closed,7.1
205,57733,2024-01-03,Product,Low,Resolved,2.3
206,35970,2023-02-15,Product,Critical,Closed,25.3
207,7665,2024-09-24,Return,Low,Closed,4.2
208,81066,2025-04-30,Other,Low,Closed,15.6
209,17756,2023-05-14,Delivery,Medium,Resolved,3.8
210,97107,2025-11-19,Payment,Medium,Open,1.7
211,50049,2023-02-17,Delivery,Low,Resolved,7.8
212,36345,2025-12-12,Other,Low,Resolved,18.6
213,65161,2024-12-08,Product,Low,Closed,1.6
214,11367,2025-08-09,Product,High,Resolved,0.9
215,23638,2023-05-13,Return,High,Resolved,6.4
216,25822,2023-05-27,Product,Medium,Resolved,4.1
217,3507,2024-10-09,Delivery,Low,Resolved,10.2
218,40573,2025-09-26,Product,Low,Closed,19.2
219,36924,2024-10-30,Product,Medium,Closed,19.8
220,6188,2025-05-21,Product,Medium,Closed,12.7
221,46779,2025-05-30,Other,Medium,Resolved,5.6
222,14498,2024-01-12,Other,Low,Closed,6.9
223,26285,2024-08-19,Return,Medium,In Progress,6.9
224,14420,2024-10-16,Other,High,Open,7.1
225,84987,2023-10-17,Account,High,Resolved,1.6
226,33057,2023-02-07,Payment,Low,Resolved,8.4
227,23277,2023-06-07,Product,Medium,In Progress,19.0
228,40643,2023-12-10,Delivery,Low,Resolved,9.3
229,4986,2023-02-17,Other,Low,Closed,10.6
230,54767,2024-03-26,Other,Low,Closed,4.3
231,50041,2023-12-12,Other,Low,Closed,8.9
232,94846,2023-09-22,Product,Medium,Closed,13.5
233,53125,2024-11-23,Product,Medium,Resolved,8.2
234,9756,2024-04-18,Payment,Medium,Resolved,22.2
235,98732,2023-08-18,Product,Low,Resolved,4.6
236,85782,2025-01-02,Delivery,Low,Resolved,5.3
237,82695,2025-02-04,Return,Medium,In Progress,3.7
238,54943,2023-01-25,Delivery,Medium,Resolved,1.4
239,62561,2025-02-03,Delivery,High,Resolved,6.0
240,3434,2023-09-14,Product,Low,Resolved,11.3
241,2654,2023-10-25,Product,Medium,Resolved,3.8
242,84005,2025-10-20,Product,Low,Resolved,17.2
243,94236,2025-02-13,Payment,Medium,Resolved,7.7
244,55646,2024-10-09,Account,High,Resolved,4.4
245,22550,2025-09-07,Other,Low,Resolved,24.4
246,54973,2025-09-10,Delivery,High,Resolved,1.6
247,88041,2023-03-27,Delivery,High,Resolved,10.9
248,50673,2023-01-02,Delivery,Low,Closed,9.1
249,66359,2024-12-19,Other,High,Resolved,19.5
250,87992,2024-02-17,Account,Medium,Resolved,22.9
251,496,2023-01-20,Product,Critical,In Progress,11.7
252,52461,2023-09-19,Product,Medium,Resolved,6.1
253,40868,2025-10-17,Return,Low,Closed,3.2
254,1049,2023-04-08,Product,Medium,Resolved,18.2
255,81728,2023-05-13,Product,Low,In Progress,31.3
256,3918,2024-11-25,Product,Low,Closed,19.1
257,41572,2025-05-21,Account,Medium,Open,12.0
258,26987,2024-02-10,Other,Low,Resolved,3.1
259,71068,2023-05-13,Return,Low,Closed,2.2
260,31640,2024-07-28,Account,Low,Closed,15.6
261,62586,2024-09-18,Return,Medium,Resolved,2.2
262,57412,2025-11-26,Product,Low,Open,8.3
263,34984,2025-02-02,Delivery,Low,Resolved,12.9
264,95469,2025-08-16,Product,High,Resolved,12.7
265,22222,2024-09-08,Return,Low,Resolved,0.9
266,52737,2023-08-20,Account,Low,Resolved,1.6
267,44634,2025-03-28,Product,High,Closed,13.8
268,13895,2024-08-16,Product,Critical,Closed,24.7
269,51472,2023-05-31,Account,Medium,In Progress,5.2
270,38997,2023-01-24,Other,Medium,Closed,6.1
271,93071,2025-03-23,Product,Medium,Resolved,6.7
272,14848,2024-12-22,Product,Critical,Resolved,2.3
273,95935,2023-10-14,Other,Medium,Resolved,2.6
274,28081,2023-05-05,Return,Medium,Resolved,7.6
275,34312,2025-08-23,Other,Low,Closed,5.8
276,63977,2025-08-27,Return,Medium,Resolved,5.0
277,82789,2025-06-21,Payment,Medium,In Progress,11.4
278,31442,2023-08-21,Other,Low,Closed,15.3
279,95802,2023-04-08,Return,Low,Resolved,3.4
280,16343,2024-07-29,Other,Medium,Closed,34.0
281,44144,2025-09-25,Product,High,Resolved,4.7
282,56893,2024-10-16,Product,Medium,Resolved,9.2
283,64882,2025-06-10,Delivery,Medium,Resolved,10.7
284,9064,2025-09-30,Payment,Low,Resolved,21.8
285,48480,2024-11-03,Account,Medium,Closed,30.1
286,88142,2023-11-27,Product,Medium,Closed,9.5
287,80719,2025-07-12,Product,Medium,Resolved,7.7
288,56943,2025-04-12,Account,High,Resolved,8.0
289,38007,2024-05-20,Other,Medium,In Progress,11.3
290,98945,2025-12-26,Delivery,Low,In Progress,4.1
291,24755,2024-04-18,Account,Low,Resolved,3.2
292,95599,2023-11-04,Account,Low,Resolved,6.8
293,23258,2024-05-15,Delivery,Low,Resolved,10.0
294,20177,2024-05-05,Product,Critical,Closed,11.1
295,43241,2025-01-29,Product,Medium,Open,4.3
296,32831,2023-12-02,Delivery,Low,Resolved,6.1
297,76473,2024-05-21,Delivery,Low,Closed,3.8
298,94023,2023-09-08,Delivery,Critical,Resolved,10.3
299,99722,2024-01-12,Payment,Low,Resolved,2.7
300,61599,2025-09-24,Product,High,Resolved,14.1
301,79109,2023-01-06,Delivery,Low,Resolved,2.1
302,7857,2023-10-19,Return,Low,Resolved,17.9
303,33877,2024-01-19,Product,Medium,Resolved,6.1
304,48110,2023-06-30,Delivery,High,Resolved,2.6
305,95560,2024-09-14,Product,Low,Open,7.6
306,56073,2023-08-11,Product,Low,In Progress,15.7
307,94769,2024-09-04,Product,Low,Closed,10.7
308,42810,2023-10-29,Account,Medium,Closed,13.6
309,90782,2025-10-03,Other,Low,Closed,14.4
310,11876,2025-02-05,Delivery,Low,Closed,4.9
311,98097,2025-06-02,Delivery,Medium,Resolved,5.5
312,51874,2025-04-11,Return,Low,Resolved,1.9
313,13978,2023-11-05,Delivery,Medium,Resolved,6.5
314,52701,2024-07-16,Delivery,Low,Closed,21.0
315,1927,2025-02-23,Return,Medium,Resolved,25.3
316,95601,2025-10-16,Product,Medium,Closed,5.5
317,40700,2024-10-07,Account,Medium,Resolved,2.1
318,27739,2024-03-31,Return,Low,Closed,18.3
319,62580,2023-08-07,Other,Medium,Closed,6.0
320,25875,2024-12-07,Return,Medium,Closed,1.7
321,87955,2024-03-30,Delivery,Critical,Resolved,1.9
322,17542,2024-09-13,Account,Medium,Closed,2.5
323,68295,2025-09-08,Payment,Medium,Resolved,20.3
324,35815,2025-09-16,Delivery,Medium,Closed,3.9
325,63523,2024-10-31,Payment,Medium,Resolved,3.1
326,18806,2025-10-20,Other,Low,Resolved,10.3
327,84411,2024-05-30,Return,Low,Resolved,16.5
328,48446,2024-08-25,Return,Medium,Closed,8.4
329,92967,2025-08-26,Return,Medium,Resolved,7.7
330,97946,2023-06-06,Return,Low,Closed,8.8
331,65670,2023-07-03,Payment,Critical,Closed,106.4
332,20230,2024-06-08,Payment,High,Closed,1.7
333,4612,2024-02-24,Product,Medium,Resolved,16.5
334,14832,2023-03-30,Delivery,Medium,Closed,7.1
335,57166,2025-01-04,Payment,Low,Closed,8.0
336,92325,2024-09-18,Account,Low,Closed,6.0
337,27804,2025-01-10,Product,Low,Resolved,9.0
338,33529,2023-06-11,Delivery,Medium,Closed,21.1
339,73042,2023-09-18,Other,Low,Closed,10.1
340,61213,2023-12-23,Return,High,Resolved,10.3
341,90120,2024-02-27,Payment,Medium,Open,5.3
342,10596,2024-04-14,Return,Low,Resolved,19.6
343,8997,2024-02-22,Return,Low,Resolved,9.0
344,72855,2024-05-05,Other,Medium,Closed,10.7
345,85789,2024-04-17,Delivery,Medium,Closed,6.9
346,3305,2024-04-16,Return,High,Closed,12.3
347,76453,2023-01-12,Return,Medium,Closed,4.0
348,11192,2023-02-03,Payment,High,Resolved,4.4
349,37518,2024-06-03,Payment,High,Resolved,5.4
350,20711,2025-07-18,Account,Medium,Resolved,4.3
351,2300,2025-07-19,Account,Low,Resolved,6.9
352,22939,2025-09-27,Delivery,Low,Resolved,7.6
353,93435,2025-10-18,Other,Medium,In Progress,7.7
354,77579,2023-12-28,Other,Low,Closed,34.8
355,41417,2024-10-18,Return,Medium,Resolved,29.1
356,12950,2024-10-12,Account,Medium,Resolved,5.4
357,38390,2023-07-31,Account,Low,Closed,14.3
358,86096,2025-09-21,Product,Medium,Resolved,13.1
359,51986,2025-12-19,Other,Low,Resolved,7.1
360,63200,2024-02-03,Account,Low,Resolved,28.7
361,85472,2025-03-08,Product,Low,Resolved,8.8
362,68310,2025-04-01,Product,Low,Resolved,21.3
363,36007,2025-11-09,Return,Medium,Resolved,5.0
364,21877,2023-03-06,Product,Medium,Closed,5.5
365,37644,2025-02-16,Payment,Low,Resolved,11.7
366,60386,2025-09-26,Product,Critical,Closed,8.5
367,33413,2025-09-10,Product,Low,In Progress,7.4
368,77743,2023-11-10,Payment,Medium,Closed,27.4
369,68591,2025-08-20,Product,Medium,In Progress,7.8
370,41286,2024-02-20,Payment,Low,Closed,2.9
371,65896,2025-05-16,Other,High,Resolved,5.6
372,27677,2024-05-22,Account,Medium,In Progress,3.8
373,49715,2024-07-30,Other,Medium,Resolved,28.1
374,84665,2024-12-07,Other,Medium,Resolved,13.9
375,43589,2024-11-30,Other,Low,Closed,10.8
376,4140,2024-12-13,Product,Medium,Resolved,18.6
377,131,2023-10-16,Product,Low,Resolved,15.9
378,8162,2023-12-30,Delivery,High,Resolved,4.6
379,78604,2025-06-02,Other,Medium,Resolved,4.3
380,93042,2024-11-09,Return,Low,Closed,4.0
381,19421,2023-10-29,Return,High,Closed,7.6
382,77415,2024-02-29,Delivery,Medium,Resolved,10.8
383,81724,2023-12-29,Other,Low,Resolved,5.4
384,41815,2025-08-17,Delivery,Medium,Resolved,2.2
385,71015,2024-06-04,Other,Medium,Closed,11.3
386,70607,2025-09-15,Delivery,Low,Resolved,2.3
387,26138,2024-05-13,Payment,Low,Resolved,4.0
388,48057,2024-10-07,Product,Critical,Resolved,4.3
389,6032,2023-03-18,Return,Low,Closed,26.8
390,60522,2023-12-17,Product,Medium,Resolved,2.8
391,49879,2025-04-11,Product,Medium,Closed,3.7
392,7208,2023-08-07,Delivery,Low,Resolved,16.2
393,52828,2024-04-08,Return,Low,Closed,7.3
394,24992,2023-02-28,Account,Medium,Closed,6.1
395,56913,2024-05-14,Delivery,Low,Closed,5.3
396,75240,2023-05-29,Other,Medium,Resolved,11.7
397,83411,2024-11-10,Other,Medium,Closed,4.0
398,82642,2025-03-28,Other,High,Open,14.7
399,96196,2023-10-29,Product,Medium,Closed,3.5
400,66416,2025-03-28,Payment,Low,Closed,5.7
401,30534,2025-12-26,Payment,Medium,Closed,3.5
402,64838,2024-04-02,Other,Medium,Resolved,16.3
403,13818,2025-09-29,Product,Medium,In Progress,7.6
404,43045,2023-04-22,Product,High,Closed,10.3
405,45675,2023-06-05,Delivery,Medium,Resolved,10.4
406,32574,2025-01-08,Product,Medium,Resolved,87.8
407,21064,2023-10-18,Delivery,Medium,Closed,1.4
408,17351,2025-02-03,Delivery,Medium,Resolved,4.0
409,70416,2024-05-09,Return,Medium,Resolved,9.6
410,66386,2023-11-28,Payment,High,Closed,11.8
411,72166,2025-12-30,Product,Medium,Closed,3.8
412,77087,2023-04-06,Other,Medium,Resolved,9.9
413,55220,2023-04-20,Delivery,Low,Closed,13.5
414,43378,2023-12-14,Other,Critical,Closed,2.6
415,6027,2025-09-08,Delivery,medium,Resolved,4.5
416,57643,2025-01-27,Payment,Low,Closed,6.6
417,70997,2023-10-31,Product,Medium,Closed,13.2
418,88491,2025-05-23,Other,Low,Resolved,5.0
419,95992,2024-05-22,Product,Medium,Resolved,2.9
420,56287,2023-09-21,Delivery,High,Resolved,32.5
421,93057,2025-06-25,Return,Medium,Closed,12.4
422,34544,2025-12-28,Account,Low,Resolved,10.6
423,21462,2023-05-16,Other,Low,Closed,11.8
424,30518,2025-07-08,Other,Medium,In Progress,4.6
425,95876,2023-11-26,Product,Medium,Resolved,3.5
426,63686,2024-05-28,Delivery,Low,Open,7.8
427,86472,2025-12-14,Account,Medium,Closed,12.1
428,45742,2025-10-09,Return,Low,In Progress,10.1
429,23744,2024-05-21,Delivery,Medium,Resolved,6.0
430,31768,2025-08-07,Account,Medium,Open,9.5
431,6988,2023-01-19,Delivery,Medium,Closed,2.2
432,93228,2024-04-03,Account,Low,Open,6.2
433,4522,2024-04-28,Delivery,Medium,Closed,5.2
434,2883,2025-09-30,Other,Low,Resolved,3.0
435,22893,2025-06-05,Delivery,Low,Resolved,4.6
436,55193,2025-10-03,Delivery,Low,Resolved,4.1
437,70758,2025-09-29,Account,Low,Closed,7.8
438,47061,2023-05-15,Product,Medium,Resolved,1.0
439,22690,2025-04-22,Return,Low,Closed,3.0
440,17994,2025-08-09,Payment,Medium,Resolved,11.0
441,50816,2025-09-15,Account,Low,Closed,8.7
442,94911,2023-09-01,Return,Low,Closed,19.7
443,34117,2024-07-26,Payment,High,Resolved,10.7
444,3134,2024-04-17,Delivery,Critical,Closed,13.4
445,45553,2024-08-15,Delivery,High,Resolved,6.1
446,83327,2023-08-28,Return,High,Closed,4.4
447,3104,2025-12-15,Other,Medium,In Progress,8.0
448,62790,2023-08-21,Return,Medium,Closed,11.6
449,92975,2023-05-22,Payment,Medium,Resolved,6.5
450,32466,2024-08-04,Product,Medium,Resolved,21.0
451,54371,2023-10-07,Product,High,Closed,3.7
452,43046,2025-05-23,Other,Medium,Resolved,28.3
453,17840,2024-01-02,Other,Low,Closed,8.7
454,97466,2024-12-28,Product,Low,Resolved,7.1
455,36536,2023-03-21,Product,Medium,Closed,6.5
456,75754,2024-03-10,Return,Medium,Open,6.9
457,79617,2025-11-01,Product,Medium,Resolved,3.9
458,90551,2023-11-12,Other,Low,Resolved,22.0
459,89784,2024-10-28,Delivery,Low,Resolved,12.3
460,6451,2024-03-13,Return,Medium,In Progress,13.9
461,61050,2025-10-28,Account,Medium,Closed,9.0
462,82039,2025-09-11,Return,Medium,Closed,2.5
463,75152,2025-07-13,Payment,Medium,Closed,4.7
464,16290,2023-04-07,Payment,Low,Closed,3.3
465,6517,2025-07-18,Delivery,Low,In Progress,3.9
466,71029,2025-12-17,Product,Low,Resolved,10.3
467,99214,2023-01-19,Delivery,High,Resolved,8.0
468,94128,2024-02-19,Delivery,High,Resolved,2.9
469,702,2024-03-09,Product,High,Resolved,4.6
470,41710,2023-05-26,Payment,Medium,Resolved,12.9
471,91588,2024-05-31,Return,Low,Resolved,12.9
472,95284,2023-09-23,Account,Low,Closed,4.4
473,87819,2023-12-27,Product,Low,Resolved,3.4
474,12280,2024-11-15,Other,Low,Closed,8.5
475,66746,2024-08-08,Delivery,Low,Closed,9.1
476,68599,2023-08-13,Product,Medium,In Progress,10.5
477,49686,2025-02-02,Product,Low,Resolved,4.6
478,79287,2025-06-02,Delivery,Medium,Resolved,9.9
479,9881,2025-03-22,Product,Low,Resolved,4.7
480,50160,2025-01-03,Delivery,Critical,Resolved,29.7
481,89856,2024-08-26,Delivery,Low,Closed,22.7
482,79041,2025-04-11,Product,Medium,In Progress,13.1
483,62725,2023-06-11,Account,High,In Progress,30.2
484,30053,2025-05-19,Delivery,Low,Closed,6.9
485,59852,2023-03-18,Delivery,Low,In Progress,20.5
486,15261,2025-03-01,Delivery,Medium,Closed,8.9
487,55120,2025-12-18,Product,Medium,Open,13.3
488,33686,2024-03-31,Product,Medium,In Progress,14.4
489,82862,2023-01-08,Delivery,Low,Resolved,4.7
490,16080,2025-01-28,Payment,Medium,Resolved,17.1
491,66194,2025-11-17,Account,Medium,Closed,27.0
492,85758,2023-01-10,Product,Medium,Closed,16.5
493,21260,2024-07-27,Return,Medium,In Progress,9.8
494,95611,2024-04-01,Product,Medium,Closed,3.0
495,44785,2025-12-06,Payment,Medium,Closed,2.3
496,75475,2023-10-06,Payment,Medium,Closed,2.7
497,99037,2024-01-14,Delivery,Medium,Closed,11.4
498,69703,2025-10-12,Product,Medium,Open,14.2
499,56585,2023-08-29,Product,Medium,Resolved,18.1
500,87238,2024-11-11,Account,Low,In Progress,4.5
501,57601,2024-09-17,Other,Low,Open,15.2
502,9340,2025-12-22,Delivery,Medium,Closed,7.6
503,91439,2024-09-19,Delivery,Low,Closed,4.2
504,40005,2024-10-29,Product,High,Resolved,8.0
505,74703,2024-01-12,Product,High,Resolved,26.2
506,82556,2023-11-09,Product,High,Resolved,6.0
507,54507,2024-11-17,Return,Low,Resolved,4.6
508,59448,2025-04-13,Delivery,Low,Closed,14.0
509,85204,2024-12-23,Account,High,Closed,2.2
