product_id,product_name,category_id,supplier_id,unit_price,cost_price,stock_quantity,rating,active_flag
32,Bluetooth Speaker Model 00032,CAT001,290,83.58,61.77,445,3.65,Y
33,Board Game Model 00033,CAT008,444,151.21,104.42,453,4.67,Y
34,Data Analytics Book Model 00034,CAT007,467,380.97,286.76,819,4.0,Y
35,Dumbbell Set Model 00035,CAT005,259,57.12,41.11,146,4.49,Y
36,Wireless Earbuds Model 00036,CAT001,324,813.44,500.87,938,3.7,Y
37,Business Book Model 00037,CAT007,651,78.71,48.47,517,3.17,Y
38,Fitness Tracker Model 00038,CAT005,909,152.72,69.17,370,4.4,Y
39,Business Book Model 00039,CAT007,818,37.5,17.25,451,4.36,Y
40,Novel Model 00040,CAT007,338,279.16,194.36,649,3.84,Y
41,Remote Control Car Model 00041,CAT008,787,165.99,105.08,631,4.34,Y
42,Sports Bag Model 00042,CAT005,556,244.37,171.33,170,3.89,Y
43,Bluetooth Speaker Model 00043,CAT001,929,68.27,52.12,566,4.93,Y
44,T-Shirt Model 00044,CAT006,422,21.0,12.59,380,4.74,Y
45,Hoodie Model 00045,CAT006,259,98.37,47.14,630,3.82,Y
46,Programming Book Model 00046,CAT007,625,14.11,9.27,245,4.06,Y
47,Mechanical Keyboard Model 00047,CAT002,739,48.03,23.19,743,5.0,Y
48,Laptop Stand Model 00048,CAT002,65,77.2,50.57,648,4.35,Y
49,Notebook Model 00049,CAT009,163,552.19,344.65,832,4.25,Y
50,Programming Book Model 00050,CAT007,164,86.58,59.31,690,4.44,Y
51,Desk Organizer Model 00051,CAT009,678,73.7,41.7,446,4.91,Y
52,Programming Book Model 00052,CAT007,39,61.42,30.55,695,3.77,Y
53,Dumbbell Set Model 00053,CAT005,665,19.42,10.25,720,4.64,Y
54,Jeans Model 00054,CAT006,320,70.22,47.44,232,4.11,Y
55,Printer Paper Model 00055,CAT009,360,71.31,43.34,987,4.64,Y
56,Yoga Mat Model 00056,CAT005,269,27.18,17.08,382,3.82,Y
57,T-Shirt Model 00057,CAT006,324,22.34,12.43,880,4.66,Y
58,Smartphone Model 00058,CAT001,326,42.14,30.6,139,3.54,Y
59,Skin Serum Model 00059,CAT004,587,68.91,53.74,557,3.23,Y
60,T-Shirt Model 00060,CAT006,257,43.06,23.81,360,4.39,Y
61,Gaming Mouse Model 00061,CAT002,200,25.24,17.35,870,4.61,Y
62,Mechanical Keyboard Model 00062,CAT002,438,84.33,42.71,783,4.21,Y
63,Blender Model 00063,CAT003,610,105.57,73.37,77,5.0,Y
64,USB-C Hub Model 00064,CAT002,104,72.5,42.93,453,3.94,Y
65,Laptop Stand Model 00065,CAT002,372,39.16,25.45,558,4.81,Y
66,Skin Serum Model 00066,CAT004,905,111.02,58.66,443,3.58,Y
67,Printer Paper Model 00067,CAT009,164,54.76,40.03,568,,Y
68,Dumbbell Set Model 00068,CAT005,113,22.29,11.31,62,4.69,Y
69,USB-C Hub Model 00069,CAT002,615,165.18,124.95,285,4.87,Y
70,Smartphone Model 00070,CAT001,549,89.35,42.01,748,,Y
71,Backpack Model 00071,CAT006,106,58.38,31.82,473,3.36,Y
72,Air Fryer Model 00072,CAT003,699,15.81,10.05,83,4.14,Y
73,Action Figure Model 00073,CAT008,364,33.25,24.38,4,4.55,Y
74,Sneakers Model 00074,CAT006,21,399.85,256.07,654,3.35,Y
75,Action Figure Model 00075,CAT008,660,16.72,8.72,889,4.54,Y
76,Gaming Mouse Model 00076,CAT002,998,51.84,38.02,798,5.0,Y
77,Sneakers Model 00077,CAT006,129,64.05,41.42,913,3.2,Y
78,Laptop Stand Model 00078,CAT002,483,86.73,45.68,588,2.66,Y
79,Pen Set Model 00079,CAT009,699,16.89,10.73,426,3.17,Y
80,Backpack Model 00080,CAT006,796,76.03,51.16,10,4.93,Y
81,Desk Lamp Model 00081,CAT003,199,14.25,9.61,893,3.81,Y
82,Gaming Mouse Model 00082,CAT002,747,70.96,48.88,767,3.7,Y
83,USB-C Hub Model 00083,CAT002,952,36.13,26.94,50,3.75,Y
84,T-Shirt Model 00084,CAT006,620,29.82,21.53,395,4.37,Y
85,Gaming Mouse Model 00085,CAT002,521,137.79,89.64,502,4.74,Y
86,Yoga Mat Model 00086,CAT005,961,52.58,24.22,372,4.74,Y
87,USB-C Hub Model 00087,CAT002,420,99.56,69.43,439,4.64,Y
88,Hoodie Model 00088,CAT006,226,102.57,79.16,978,4.0,Y
89,Remote Control Car Model 00089,CAT008,930,203.84,112.28,402,4.06,Y
90,Business Book Model 00090,CAT007,209,21.91,14.25,896,3.52,Y
91,Data Analytics Book Model 00091,CAT007,245,148.64,104.59,653,4.88,N
92,Webcam Model 00092,CAT002,288,65.97,43.6,336,4.41,Y
93,Bluetooth Speaker Model 00093,CAT001,66,46.25,34.89,577,4.16,Y
94,Sneakers Model 00094,CAT006,868,23.11,14.01,614,3.47,Y
95,Blender Model 00095,CAT003,153,112.2,70.18,504,2.85,Y
96,Hair Dryer Model 00096,CAT004,491,28.34,13.11,421,3.43,Y
97,Smart Watch Model 00097,CAT001,435,103.59,77.39,980,4.39,Y
98,Gaming Mouse Model 00098,CAT002,703,368.5,197.72,915,3.72,Y
99,Bluetooth Speaker Model 00099,CAT001,218,157.02,121.36,179,4.93,Y
100,Printer Paper Model 00100,CAT009,429,227.39,117.49,406,3.42,Y
101,Gaming Mouse Model 00101,CAT002,502,34.03,18.16,93,4.09,Y
102,Sports Bag Model 00102,CAT005,666,129.13,78.76,576,4.27,Y
103,Power Bank Model 00103,CAT001,789,23.21,15.5,5,2.94,Y
104,Backpack Model 00104,CAT006,594,52.68,31.37,206,4.64,Y
105,Desk Lamp Model 00105,CAT003,221,311.54,176.36,912,3.93,Y
106,Pen Set Model 00106,CAT009,435,37.61,23.63,419,2.46,Y
107,Calculator Model 00107,CAT009,280,176.73,135.42,217,3.9,Y
108,Blender Model 00108,CAT003,623,162.14,124.43,501,4.69,Y
109,Desk Organizer Model 00109,CAT009,92,171.0,95.46,829,3.56,Y
110,Dash Camera Model 00110,CAT010,524,20.78,14.02,698,3.23,Y
111,Board Game Model 00111,CAT008,139,104.28,71.77,449,3.22,Y
112,Action Figure Model 00112,CAT008,667,56.46,37.58,180,3.88,Y
113,Laptop Stand Model 00113,CAT002,23,173.13,84.36,492,4.53,Y
114,Yoga Mat Model 00114,CAT005,417,14.66,9.2,778,,Y
115,Wireless Earbuds Model 00115,CAT001,976,90.5,63.52,618,2.98,Y
116,Wireless Earbuds Model 00116,CAT001,732,79.69,41.14,623,3.73,Y
117,Dash Camera Model 00117,CAT010,348,10.84,6.12,137,4.46,Y
118,Coffee Maker Model 00118,CAT003,237,29.3,15.15,3,3.49,Y
119,Economics Book Model 00119,CAT007,765,12.52,9.3,914,3.85,Y
120,Action Figure Model 00120,CAT008,934,33.81,24.79,729,3.23,Y
121,Building Blocks Model 00121,CAT008,183,106.56,53.9,821,4.03,Y
122,Floor Mat Model 00122,CAT010,508,77.5,54.32,934,4.23,Y
123,Laptop Stand Model 00123,CAT002,198,75.71,43.16,465,5.0,Y
124,Power Bank Model 00124,CAT001,682,25.5,17.25,363,4.14,Y
125,Blender Model 00125,CAT003,123,178.18,109.19,597,4.26,Y
126,Power Bank Model 00126,CAT001,925,63.91,38.71,573,4.19,Y
127,Bluetooth Speaker Model 00127,CAT001,546,67.0,49.64,425,3.84,Y
128,Desk Lamp Model 00128,CAT003,381,151.52,100.04,28,4.15,Y
129,Business Book Model 00129,CAT007,825,26.63,14.06,206,5.0,Y
130,Yoga Mat Model 00130,CAT005,515,79.84,38.85,939,3.89,Y
131,Desk Lamp Model 00131,CAT003,6,95.15,72.13,511,3.45,Y
132,Backpack Model 00132,CAT006,304,39.78,19.91,800,4.38,Y
133,USB-C Hub Model 00133,CAT002,614,116.92,80.94,425,3.43,Y
134,Wireless Earbuds Model 00134,CAT001,192,99.86,61.28,394,4.59,Y
135,Novel Model 00135,CAT007,376,59.34,29.45,826,3.38,N
136,Hoodie Model 00136,CAT006,525,57.71,40.76,723,5.0,Y
137,Data Analytics Book Model 00137,CAT007,36,104.12,77.93,474,4.24,Y
138,Smart Watch Model 00138,CAT001,975,132.16,64.77,245,3.81,Y
139,Building Blocks Model 00139,CAT008,70,68.79,32.48,370,4.4,Y
140,Backpack Model 00140,CAT006,289,178.14,130.12,142,4.37,Y
141,Sports Bag Model 00141,CAT005,105,117.57,72.34,760,4.34,Y
142,Sneakers Model 00142,CAT006,716,13.0,8.74,642,4.09,Y
143,Action Figure Model 00143,CAT008,313,18.36,10.93,975,3.95,Y
144,Yoga Mat Model 00144,CAT005,55,188.37,110.4,27,4.86,Y
145,Dumbbell Set Model 00145,CAT005,107,52.05,28.57,115,3.96,Y
146,Jump Starter Model 00146,CAT010,653,75.35,47.91,436,3.87,Y
147,Programming Book Model 00147,CAT007,737,181.23,91.11,751,4.33,Y
148,Shampoo Model 00148,CAT004,307,64.63,44.38,681,4.27,Y
149,Sneakers Model 00149,CAT006,860,67.22,42.43,14,3.5,Y
150,Vacuum Cleaner Model 00150,CAT003,821,29.74,21.7,39,4.97,Y
151,Gaming Mouse Model 00151,CAT002,36,90.68,68.37,473,3.37,Y
152,Sports Bag Model 00152,CAT005,133,110.19,82.34,33,3.35,Y
153,Calculator Model 00153,CAT009,887,38.64,25.05,547,5.0,Y
154,Notebook Model 00154,CAT009,25,28.35,15.74,282,4.06,Y
155,Desk Lamp Model 00155,CAT003,849,690.94,392.36,397,4.22,Y
156,Dumbbell Set Model 00156,CAT005,37,59.79,39.78,241,3.78,Y
157,Laptop Stand Model 00157,CAT002,19,35.13,24.06,130,3.94,Y
158,Car Phone Holder Model 00158,CAT010,35,122.77,61.78,130,4.71,Y
159,Car Phone Holder Model 00159,CAT010,363,62.1,48.39,598,,Y
160,Backpack Model 00160,CAT006,418,24.46,11.88,708,4.39,Y
161,Remote Control Car Model 00161,CAT008,822,100.4,65.29,833,3.45,Y
162,Sneakers Model 00162,CAT006,430,30.16,18.86,187,3.99,Y
163,Yoga Mat Model 00163,CAT005,518,268.59,173.25,421,4.48,Y
164,Smartphone Model 00164,CAT001,467,101.44,63.51,483,3.03,Y
165,Perfume Model 00165,CAT004,897,50.66,23.77,124,3.61,Y
166,T-Shirt Model 00166,CAT006,199,71.72,55.85,641,4.52,Y
167,T-Shirt Model 00167,CAT006,546,146.55,113.4,114,3.49,Y
168,Blender Model 00168,CAT003,568,76.84,47.88,462,3.75,Y
169,Car Phone Holder Model 00169,CAT010,768,438.91,227.68,833,4.67,Y
170,Webcam Model 00170,CAT002,211,180.67,92.21,99,4.37,Y
171,Running Shoes Model 00171,CAT005,609,100.81,47.26,475,4.51,Y
172,Sneakers Model 00172,CAT006,794,27.97,18.23,717,4.36,Y
173,Hoodie Model 00173,CAT006,501,56.95,34.62,779,4.37,Y
174,Jeans Model 00174,CAT006,241,100.02,58.75,29,4.14,Y
175,Gaming Mouse Model 00175,CAT002,170,30.99,19.32,994,3.4,Y
176,Bluetooth Speaker Model 00176,CAT001,859,208.19,153.66,903,3.89,Y
177,Jeans Model 00177,CAT006,294,27.05,12.8,607,3.97,Y
178,Sports Bag Model 00178,CAT005,922,36.63,23.06,765,3.25,Y
179,Laptop Stand Model 00179,CAT002,739,39.19,26.7,787,3.79,Y
180,Sneakers Model 00180,CAT006,315,126.95,97.8,873,3.9,Y
181,Perfume Model 00181,CAT004,127,31.5,21.86,242,4.89,Y
182,Sneakers Model 00182,CAT006,468,12.86,8.12,78,3.1,Y
183,Remote Control Car Model 00183,CAT008,792,173.06,121.67,190,4.15,Y
184,Laptop Stand Model 00184,CAT002,367,43.57,33.94,845,4.3,Y
185,Bluetooth Speaker Model 00185,CAT001,21,24.85,18.47,665,4.49,Y
186,Economics Book Model 00186,CAT007,316,32.95,15.8,920,4.69,Y
187,Jeans Model 00187,CAT006,758,304.74,194.94,824,3.44,Y
188,Hoodie Model 00188,CAT006,90,35.98,25.53,722,3.85,Y
189,Building Blocks Model 00189,CAT008,404,58.17,39.07,827,4.46,Y
190,Board Game Model 00190,CAT008,518,43.47,25.55,531,3.89,Y
191,Dash Camera Model 00191,CAT010,451,21.43,11.93,502,4.19,N
192,Yoga Mat Model 00192,CAT005,778,33.31,21.88,114,4.73,Y
193,Skin Serum Model 00193,CAT004,908,20.15,11.81,281,4.62,Y
194,Air Fryer Model 00194,CAT003,609,153.65,89.02,479,4.39,Y
195,Power Bank Model 00195,CAT001,150,71.18,51.68,790,4.77,Y
196,Sports Bag Model 00196,CAT005,446,607.16,336.47,959,3.67,Y
197,Gaming Mouse Model 00197,CAT002,957,34.34,22.76,525,3.97,Y
198,Calculator Model 00198,CAT009,80,30.01,22.15,85,4.13,Y
199,Running Shoes Model 00199,CAT005,17,258.47,169.34,733,3.6,Y
200,Yoga Mat Model 00200,CAT005,138,168.44,103.19,603,4.81,Y
201,Air Fryer Model 00201,CAT003,652,91.9,42.42,893,4.43,Y
202,Wireless Earbuds Model 00202,CAT001,851,23.86,16.1,507,4.34,Y
203,Smartphone Model 00203,CAT001,508,312.59,243.56,549,3.34,Y
204,Face Cream Model 00204,CAT004,552,60.92,43.66,807,3.47,Y
205,Wireless Earbuds Model 00205,CAT001,919,44.11,29.09,184,3.5,Y
206,Backpack Model 00206,CAT006,680,181.83,109.97,541,2.75,Y
207,Notebook Model 00207,CAT009,74,63.71,33.39,754,4.17,Y
208,Calculator Model 00208,CAT009,74,22.77,15.44,898,2.79,Y
209,Sneakers Model 00209,CAT006,50,67.4,34.27,759,3.97,Y
210,USB-C Hub Model 00210,CAT002,10,32.17,23.9,226,4.87,Y
211,Puzzle Model 00211,CAT008,103,5.0,2.83,963,4.2,Y
212,Printer Paper Model 00212,CAT009,862,29.4,17.11,566,3.73,Y
213,Webcam Model 00213,CAT002,388,40.42,21.07,998,4.0,N
214,Data Analytics Book Model 00214,CAT007,385,22.97,13.99,353,4.61,Y
215,Webcam Model 00215,CAT002,299,109.08,73.58,108,4.24,Y
216,Action Figure Model 00216,CAT008,339,32.29,17.76,714,3.59,Y
217,Floor Mat Model 00217,CAT010,389,99.98,68.15,332,4.13,Y
218,Smartphone Model 00218,CAT001,990,21.42,14.03,577,4.07,Y
219,Pen Set Model 00219,CAT009,474,147.33,84.4,675,3.4,Y
220,Hoodie Model 00220,CAT006,616,20.61,11.4,948,4.67,Y
221,Dash Camera Model 00221,CAT010,802,7.9,5.8,669,2.69,Y
222,Face Cream Model 00222,CAT004,962,197.93,89.85,463,4.12,Y
223,Building Blocks Model 00223,CAT008,792,30.09,20.65,437,3.99,Y
224,Smart Watch Model 00224,CAT001,142,315.96,185.69,927,3.7,Y
225,Vacuum Cleaner Model 00225,CAT003,809,108.04,74.21,718,3.61,Y
226,Smart Watch Model 00226,CAT001,170,132.37,81.74,342,5.0,Y
227,Floor Mat Model 00227,CAT010,13,166.55,79.56,942,3.73,Y
228,Puzzle Model 00228,CAT008,669,71.94,55.69,866,3.85,Y
229,Building Blocks Model 00229,CAT008,449,72.68,34.77,364,4.23,Y
230,Notebook Model 00230,CAT009,174,205.94,103.44,336,3.84,Y
231,Wireless Earbuds Model 00231,CAT001,674,71.85,42.3,721,3.67,Y
232,Blender Model 00232,CAT003,959,33.75,25.71,671,3.68,Y
233,Bluetooth Speaker Model 00233,CAT001,132,110.12,60.2,15,3.9,Y
234,Mechanical Keyboard Model 00234,CAT002,540,9.7,6.19,832,4.67,Y
235,Gaming Mouse Model 00235,CAT002,595,213.15,132.59,141,4.13,Y
236,Shampoo Model 00236,CAT004,897,217.19,121.4,65,4.96,N
237,Gaming Mouse Model 00237,CAT002,932,191.09,129.9,709,4.75,Y
238,Power Bank Model 00238,CAT001,875,184.6,113.62,985,4.71,Y
239,Laptop Stand Model 00239,CAT002,269,60.26,38.62,950,4.26,Y
240,Smartphone Model 00240,CAT001,251,59.05,30.67,555,4.21,Y
241,Floor Mat Model 00241,CAT010,370,21.49,16.24,647,4.47,Y
242,Data Analytics Book Model 00242,CAT007,618,313.45,152.49,87,4.62,Y
243,Car Vacuum Model 00243,CAT010,773,42.01,28.47,185,3.41,Y
244,Hair Dryer Model 00244,CAT004,865,88.26,65.52,38,4.39,Y
245,Gaming Mouse Model 00245,CAT002,526,81.7,39.03,305,3.89,Y
246,Building Blocks Model 00246,CAT008,592,19.45,8.94,426,3.99,Y
247,Blender Model 00247,CAT003,888,13.52,7.57,542,4.27,Y
248,Desk Lamp Model 00248,CAT003,506,65.33,46.43,63,3.19,N
249,Mechanical Keyboard Model 00249,CAT002,672,43.21,29.67,84,4.97,Y
250,Wireless Earbuds Model 00250,CAT001,178,59.97,43.26,659,3.9,Y
251,Webcam Model 00251,CAT002,667,169.57,98.55,257,3.78,Y
252,Air Fryer Model 00252,CAT003,547,79.59,61.91,298,4.4,Y
253,T-Shirt Model 00253,CAT006,259,128.65,73.43,767,4.32,Y
254,Smartphone Model 00254,CAT001,260,97.05,69.46,551,3.45,Y
255,Gaming Mouse Model 00255,CAT002,135,48.9,27.66,57,4.96,Y
256,Puzzle Model 00256,CAT008,461,26.38,13.77,851,3.47,Y
257,Smart Watch Model 00257,CAT001,489,82.49,46.28,112,3.99,Y
258,Blender Model 00258,CAT003,643,70.1,36.0,85,3.18,Y
259,Board Game Model 00259,CAT008,81,148.12,72.97,268,5.0,Y
260,Smart Watch Model 00260,CAT001,367,56.75,32.35,511,4.41,N
261,Wireless Earbuds Model 00261,CAT001,59,49.74,24.79,122,3.87,Y
262,Shampoo Model 00262,CAT004,74,52.87,32.56,467,4.05,Y
263,Blender Model 00263,CAT003,239,28.43,13.13,107,3.48,Y
264,Yoga Mat Model 00264,CAT005,129,239.03,141.59,758,4.59,Y
265,Puzzle Model 00265,CAT008,412,181.28,138.89,222,3.24,Y
266,Bluetooth Speaker Model 00266,CAT001,315,21.82,12.4,918,4.46,Y
267,Fitness Tracker Model 00267,CAT005,374,134.01,66.39,409,3.56,Y
268,Dumbbell Set Model 00268,CAT005,437,12.35,6.8,746,4.86,Y
269,Smart Watch Model 00269,CAT001,138,157.77,112.19,244,3.73,Y
270,Jeans Model 00270,CAT006,455,34.73,19.22,221,4.15,Y
271,Laptop Stand Model 00271,CAT002,615,89.86,51.81,635,5.0,Y
272,Shampoo Model 00272,CAT004,899,11.45,8.13,748,4.34,Y
273,Smartphone Model 00273,CAT001,903,22.1,11.84,328,4.42,Y
274,Skin Serum Model 00274,CAT004,9,99.11,60.24,422,4.08,N
275,Coffee Maker Model 00275,CAT003,232,34.59,16.29,681,3.87,Y
276,Building Blocks Model 00276,CAT008,611,30.52,15.49,244,4.27,Y
277,Power Bank Model 00277,CAT001,730,228.3,118.51,543,4.15,Y
278,Desk Lamp Model 00278,CAT003,965,475.44,286.68,939,4.43,Y
279,Face Cream Model 00279,CAT004,397,151.06,108.91,807,4.88,Y
280,Novel Model 00280,CAT007,749,24.33,13.79,75,3.97,Y
281,Yoga Mat Model 00281,CAT005,734,317.84,182.94,379,3.82,Y
282,T-Shirt Model 00282,CAT006,680,15.94,8.76,715,3.64,Y
283,Programming Book Model 00283,CAT007,882,49.42,27.47,90,4.24,Y
284,Puzzle Model 00284,CAT008,574,68.28,39.82,301,4.59,Y
285,Desk Lamp Model 00285,CAT003,318,367.24,274.26,537,3.91,Y
286,Sports Bag Model 00286,CAT005,999,147.79,67.69,106,4.33,Y
287,Board Game Model 00287,CAT008,507,42.82,28.09,781,3.82,Y
288,Car Phone Holder Model 00288,CAT010,522,27.77,20.63,205,4.36,Y
289,Calculator Model 00289,CAT009,746,160.19,94.13,394,3.73,Y
290,Air Fryer Model 00290,CAT003,87,40.22,26.74,609,4.36,Y
291,Gaming Mouse Model 00291,CAT002,779,79.0,50.82,693,,Y
292,Face Cream Model 00292,CAT004,716,18.95,10.64,7,2.94,Y
293,Programming Book Model 00293,CAT007,318,108.5,53.74,678,4.21,Y
294,Face Cream Model 00294,CAT004,333,100.91,52.72,14,4.3,Y
295,Shampoo Model 00295,CAT004,360,21.26,9.97,771,3.87,Y
296,Puzzle Model 00296,CAT008,241,164.49,115.53,192,3.14,Y
297,Air Fryer Model 00297,CAT003,56,107.09,67.02,674,4.38,Y
298,Action Figure Model 00298,CAT008,110,126.52,89.74,500,4.0,Y
299,Coffee Maker Model 00299,CAT003,49,46.23,25.23,5,4.02,Y
300,Desk Lamp Model 00300,CAT003,755,76.36,54.64,114,4.17,Y
301,Perfume Model 00301,CAT004,16,68.82,37.99,65,4.62,Y
302,Business Book Model 00302,CAT007,73,56.89,27.88,750,3.54,Y
303,Power Bank Model 00303,CAT001,884,75.78,47.45,978,3.56,Y
304,Mechanical Keyboard Model 00304,CAT002,202,201.38,153.44,94,4.52,Y
305,Floor Mat Model 00305,CAT010,93,171.03,100.35,180,4.89,Y
306,Webcam Model 00306,CAT002,649,22.44,13.91,722,4.66,Y
307,Sports Bag Model 00307,CAT005,33,157.79,94.5,918,4.0,Y
308,Sports Bag Model 00308,CAT005,600,189.88,114.11,968,3.74,Y
309,Skin Serum Model 00309,CAT004,419,56.73,29.54,18,4.78,Y
310,Backpack Model 00310,CAT006,203,102.72,60.54,524,4.82,Y
311,Gaming Mouse Model 00311,CAT002,551,101.39,62.25,957,3.88,Y
312,Dumbbell Set Model 00312,CAT005,626,30.25,21.05,123,4.6,Y
313,Coffee Maker Model 00313,CAT003,845,46.09,22.87,263,4.71,Y
314,Backpack Model 00314,CAT006,759,127.76,81.59,376,3.44,Y
315,Smart Watch Model 00315,CAT001,855,41.6,27.81,829,3.46,Y
316,Running Shoes Model 00316,CAT005,921,156.39,90.13,91,4.08,Y
317,USB-C Hub Model 00317,CAT002,882,210.37,132.79,346,3.24,Y
318,Laptop Stand Model 00318,CAT002,720,181.94,124.55,567,3.8,Y
319,USB-C Hub Model 00319,CAT002,312,386.14,233.03,116,4.11,Y
320,Mechanical Keyboard Model 00320,CAT002,944,59.9,33.55,293,3.96,Y
321,Building Blocks Model 00321,CAT008,469,76.24,55.06,361,3.11,Y
322,Laptop Stand Model 00322,CAT002,394,86.75,67.34,840,4.43,Y
323,Calculator Model 00323,CAT009,809,61.56,32.1,782,3.85,Y
324,Jump Starter Model 00324,CAT010,872,105.88,78.73,573,3.11,Y
325,Yoga Mat Model 00325,CAT005,211,13.93,8.78,188,4.3,Y
326,Wireless Earbuds Model 00326,CAT001,867,78.16,46.73,301,4.15,Y
327,Desk Lamp Model 00327,CAT003,571,18.82,14.01,417,4.51,Y
328,Board Game Model 00328,CAT008,156,27.33,20.51,536,4.08,Y
329,Desk Lamp Model 00329,CAT003,634,125.71,67.88,512,4.14,Y
330,Bluetooth Speaker Model 00330,CAT001,632,54.34,30.88,458,4.27,Y
331,Running Shoes Model 00331,CAT005,809,121.78,89.04,270,3.72,Y
332,Remote Control Car Model 00332,CAT008,322,53.29,32.61,473,4.15,Y
333,Building Blocks Model 00333,CAT008,435,175.94,95.9,558,4.55,Y
334,Gaming Mouse Model 00334,CAT002,574,52.42,40.23,165,4.75,Y
335,Backpack Model 00335,CAT006,670,11.19,5.84,160,5.0,Y
336,USB-C Hub Model 00336,CAT002,40,79.62,51.86,816,4.47,Y
337,Gaming Mouse Model 00337,CAT002,754,9.23,5.46,866,3.51,Y
338,Pen Set Model 00338,CAT009,40,17.58,10.53,410,4.48,Y
339,Webcam Model 00339,CAT002,453,29.36,14.24,435,4.0,Y
340,USB-C Hub Model 00340,CAT002,870,26.24,14.04,843,4.91,Y
341,Power Bank Model 00341,CAT001,190,39.8,20.1,723,3.55,Y
342,Calculator Model 00342,CAT009,746,25.45,17.74,267,4.82,Y
343,Building Blocks Model 00343,CAT008,15,18.34,12.48,377,4.98,Y
344,Jeans Model 00344,CAT006,124,260.35,185.39,761,4.39,Y
345,Novel Model 00345,CAT007,740,35.31,24.03,444,4.97,Y
346,Wireless Earbuds Model 00346,CAT001,899,8.73,4.3,420,4.83,Y
347,Shampoo Model 00347,CAT004,280,46.97,36.31,5,4.11,N
348,Vacuum Cleaner Model 00348,CAT003,937,23.62,12.1,979,3.35,Y
349,Wireless Earbuds Model 00349,CAT001,959,29.31,16.58,214,3.66,Y
350,Face Cream Model 00350,CAT004,48,123.19,84.17,462,3.33,Y
351,Calculator Model 00351,CAT009,189,43.43,21.55,382,4.55,Y
352,Smartphone Model 00352,CAT001,304,23.04,11.66,347,3.73,Y
353,Vacuum Cleaner Model 00353,CAT003,559,97.13,71.8,801,3.87,Y
354,USB-C Hub Model 00354,CAT002,696,182.97,102.38,391,4.38,Y
355,Webcam Model 00355,CAT002,105,105.38,70.57,979,4.34,Y
356,Printer Paper Model 00356,CAT009,369,7.14,5.24,517,3.83,N
357,Skin Serum Model 00357,CAT004,501,23.83,18.38,187,4.37,Y
358,Shampoo Model 00358,CAT004,460,67.84,35.23,153,5.0,Y
359,Novel Model 00359,CAT007,247,52.17,25.59,176,4.68,Y
360,Power Bank Model 00360,CAT001,264,48.42,33.62,785,4.04,Y
361,Hair Dryer Model 00361,CAT004,206,26.84,13.75,126,4.59,Y
362,Skin Serum Model 00362,CAT004,507,18.35,11.77,141,3.37,Y
363,Yoga Mat Model 00363,CAT005,530,395.99,247.8,915,3.97,Y
364,Car Phone Holder Model 00364,CAT010,364,66.61,42.28,425,4.0,Y
365,Economics Book Model 00365,CAT007,763,115.85,76.97,748,4.36,Y
